id,name,image_key,tags,sort_order,updated_at
banna,西双版纳,xishuangbanna,傣族文化|泼水节|雨林|寺院礼仪,3,2026-05-28 00:19:27
dali,大理古城,dali,白族文化|建筑|历史|洱海,1,2026-05-28 00:19:27
dehong,德宏边境文旅,xishuangbanna,傣族|景颇族|边境|节庆,13,2026-05-28 00:19:27
dianchi,滇池,dianchi,湿地生态|候鸟|城市记忆,5,2026-05-28 00:19:27
jianshui,建水古城,lijiang,文庙|紫陶|古井|传统村落,10,2026-05-28 00:19:27
kunming,昆明城市导览,dianchi,春城|翠湖|滇池|城市记忆,9,2026-05-28 00:19:27
lijiang,丽江古城,lijiang,纳西文化|水系|东巴文化,2,2026-05-28 00:19:27
lugu-lake,泸沽湖,yuanyang,摩梭文化|湖泊生态|讲解边界,17,2026-05-28 00:19:27
nujiang,怒江峡谷,stoneForest,傈僳族|峡谷|生态|山地安全,14,2026-05-28 00:19:27
puer,普洱茶山,yuanyang,茶文化|古茶林|茶马古道|体验,12,2026-05-28 00:19:27
puzhehei,普者黑,stoneForest,喀斯特湿地|荷花|村寨|生态,11,2026-05-28 00:19:27
shangri-la,香格里拉,yuanyang,藏族文化|寺院礼仪|高原生态,8,2026-05-28 00:19:27
shaxi,沙溪古镇,dali,茶马古道|马帮|古戏台|慢游,15,2026-05-28 00:19:27
stone,石林,stoneForest,喀斯特地貌|彝族传说|自然遗产,4,2026-05-28 00:19:27
tengchong,腾冲火山热海,stoneForest,火山|温泉|地质科普,7,2026-05-28 00:19:27
weishan,巍山古城,dali,南诏记忆|古城|小吃|地方生活,16,2026-05-28 00:19:27
yuanyang,元阳梯田,yuanyang,哈尼族|农耕系统|摄影,6,2026-05-28 00:19:27
