id,source,relation,target,sort_order,updated_at
graph-ai-review,AI协同,关键环节,人工审核,59,2026-05-28 00:19:27
graph-bai-festival-march,白族,重要节庆,三月街,163,2026-05-28 00:19:27
graph-bai-festival-raosanling,白族,民俗活动,绕三灵,164,2026-05-28 00:19:27
graph-bai-tea,白族,代表礼俗,三道茶,2,2026-05-28 00:19:27
graph-bai-wall,白族,建筑元素,照壁,3,2026-05-28 00:19:27
graph-banna-dai,西双版纳,关联民族,傣族,8,2026-05-28 00:19:27
graph-banna-dai-flavor,傣族,饮食风味,酸辣清香,73,2026-05-28 00:19:27
graph-banna-lemongrass,傣味饮食,常用香料,香茅草,74,2026-05-28 00:19:27
graph-banna-pineapple-rice,西双版纳,代表菜品,菠萝饭,71,2026-05-28 00:19:27
graph-banna-place-botanical,西双版纳,研学景区,中科院植物园,119,2026-05-28 00:19:27
graph-banna-place-dai-park,西双版纳,文化景区,傣族园,120,2026-05-28 00:19:27
graph-banna-place-manting,西双版纳,城市景点,曼听公园,117,2026-05-28 00:19:27
graph-banna-place-mengle,西双版纳,寺院节点,勐泐大佛寺,116,2026-05-28 00:19:27
graph-banna-place-wild-elephant,西双版纳,生态景区,野象谷,118,2026-05-28 00:19:27
graph-banna-rainforest,西双版纳,生态系统,热带雨林,49,2026-05-28 00:19:27
graph-banna-roast-fish,西双版纳,代表菜品,香茅草烤鱼,72,2026-05-28 00:19:27
graph-baoshan-coffee,保山,代表农产品,小粒咖啡,77,2026-05-28 00:19:27
graph-baoshan-place-heshun,腾冲,古镇节点,和顺古镇,135,2026-05-28 00:19:27
graph-baoshan-place-rehai,腾冲,地热景区,热海,136,2026-05-28 00:19:27
graph-baoshan-place-volcano,腾冲,地质景区,火山地质公园,137,2026-05-28 00:19:27
graph-bulang-tea,布朗族,文化资源,茶文化,172,2026-05-28 00:19:27
graph-chuxiong-mushroom,楚雄,代表食材,野生菌,92,2026-05-28 00:19:27
graph-chuxiong-place-dinosaur,楚雄,研学景区,恐龙谷,133,2026-05-28 00:19:27
graph-chuxiong-place-yiren,楚雄,城市景区,彝人古镇,134,2026-05-28 00:19:27
graph-chuxiong-yi,楚雄,关联民族,彝族,34,2026-05-28 00:19:27
graph-dai-buddhism,傣族,信仰关联,南传佛教,10,2026-05-28 00:19:27
graph-dai-festival-close-door,傣族,宗教节庆,关门节,167,2026-05-28 00:19:27
graph-dai-festival-open-door,傣族,宗教节庆,开门节,166,2026-05-28 00:19:27
graph-dai-water,傣族,重要节庆,泼水节,9,2026-05-28 00:19:27
graph-dali-bai,大理古城,关联民族,白族,1,2026-05-28 00:19:27
graph-dali-erhai,大理古城,关联水域,洱海,4,2026-05-28 00:19:27
graph-dali-erkuai,大理,代表小吃,饵块,65,2026-05-28 00:19:27
graph-dali-place-cangshan,大理,自然景观,苍山,102,2026-05-28 00:19:27
graph-dali-place-erhai,大理,自然景观,洱海,103,2026-05-28 00:19:27
graph-dali-place-shuanglang,洱海,湖岸节点,双廊,104,2026-05-28 00:19:27
