id,title,content,tags,sort_order,updated_at
ai-answer-review-rule,AI 回答人工审核原则,导游端修正 AI 回答时，应优先核对事实、来源和文化边界。适合写入知识库的是稳定事实、礼仪提醒、讲解方法和安全规则；个人判断、临时政策和未经确认故事不应直接沉淀。,AI协同|人工审核|知识库|导游端,62,2026-05-28 00:19:27
ashima-story-guide,阿诗玛传说的讲解方式,阿诗玛故事体现彝族撒尼人的审美、爱情叙事和地方身份记忆。讲解时可把传说与石林景观想象联系起来，但应说明它属于民间叙事，不等同于地质成因。面向学生团队时，可引导比较自然遗产与非物质文化遗产的不同表达。,彝族|阿诗玛|民间文学|石林,11,2026-05-28 00:19:27
bai-three-course-tea,白族三道茶礼俗,白族三道茶常概括为一苦、二甜、三回味，兼具待客礼仪、人生寓意和地方表演属性。导游讲解时应说明制作顺序、礼仪场景与文化寓意，避免把它简化为普通饮品或商业表演。面向国际游客时，可把三道茶解释为白族表达欢迎、分享生活哲学和社区记忆的一种方式。,白族|三道茶|礼仪|非遗,2,2026-05-28 00:19:27
banna-dai-culture,西双版纳与傣族文化,西双版纳与傣族文化关系紧密，泼水节、南传佛教寺院、竹楼建筑、热带雨林生态和傣味饮食共同构成游客理解当地文化的线索。进入寺院、拍照和参与节庆时，应提醒游客遵守当地规范。,西双版纳|傣族|泼水节|宗教礼仪,7,2026-05-28 00:19:27
baoshan-gaoligong,高黎贡山生态导览,高黎贡山讲解可从生物多样性、垂直气候带、生态保护和山地交通展开。导游应强调不采摘野生植物，不惊扰野生动物，徒步时遵守保护区和安全规定。,高黎贡山|生态|生物多样性|徒步,46,2026-05-28 00:19:27
chuxiong-dinosaur-valley,楚雄恐龙谷研学讲解,楚雄恐龙谷适合面向亲子和研学游客做地质古生物科普。讲解可从化石、地层、生命演化和科学保护展开。游客应遵守展馆秩序，不触摸展品，不把科普内容娱乐化。,楚雄|恐龙谷|研学|科普,34,2026-05-28 00:19:27
chuxiong-yi-torch,楚雄彝族火把节讲解,火把节是彝族重要节庆之一，包含祈福、歌舞、竞技和社区聚会等内容。游客参与时应遵守现场安全指引，理解火把象征意义，避免把节庆简化为夜间娱乐活动。,楚雄|彝族|火把节|节庆,33,2026-05-28 00:19:27
dai-temple-etiquette,傣族寺院参观礼仪,参观傣族地区佛寺时，应注意着装得体、降低音量、不随意触摸佛像和法器。若遇到宗教活动，应保持距离并听从现场人员指引。导游需要提前说明拍照边界，尤其避免对僧侣和仪式进行打扰式拍摄。,傣族|南传佛教|寺院|礼仪,8,2026-05-28 00:19:27
dali-ancient-city-overview,大理古城历史与讲解主线,大理古城位于苍山洱海之间，是南诏、大理国历史记忆与当代社区生活叠合的空间。讲解时可从城门、街巷格局、五华楼、白族民居照壁和茶马古道商业往来展开，强调古城不是单一景点，而是历史、民族文化与日常生活共同构成的文化场域。,大理古城|白族|历史|建筑,1,2026-05-28 00:19:27
dehong-dai-jingpo,德宏傣族景颇族文化导览,德宏讲解可围绕傣族、景颇族文化，边境贸易，多语环境和节庆活动展开。导游应提醒国际游客尊重边境管理要求，不进入未开放口岸或敏感区域拍摄。,德宏|傣族|景颇族|边境文旅,35,2026-05-28 00:19:27
dianchi-ecology,滇池生态与城市记忆,滇池讲解可围绕湖泊生态修复、候鸟观察、昆明城市发展和湿地教育展开。亲子游客适合加入观鸟、垃圾分类和水质保护等互动任务。讲解时应提醒游客不投喂候鸟，不进入封闭湿地保护区。,滇池|生态|湿地|亲子研学,14,2026-05-28 00:19:27
